,country,year,respiratory_infections_and_tuberculosis_number,respiratory_infections_and_tuberculosis_percent,respiratory_infections_and_tuberculosis_rate,chronic_respiratory_diseases_number,chronic_respiratory_diseases_percent,chronic_respiratory_diseases_rate,all_greenhouse_gas,CO2,CH4,N2O,Fgas,mean_annual_temp,total_respiratory_diseases,total_diseases_percent
53,Austria,1991,1501,0.018369999999999997,19.25822,2506,0.030660000000000003,32.14813,66.99,48.95,11.51,4.91,1.63,6.1,4007,0.049030000000000004
54,Latvia,1991,547,0.01622,20.65822,716,0.021240000000000002,27.05017,10.66,4.27,4.02,2.42,0.02,6.683333,1263,0.03746
55,Denmark,1991,1945,0.03288,37.743590000000005,3335,0.05636,64.70653,79.13,63.07,8.98,7.05,0.03,8.216667,5280,0.08924
56,Ireland,1991,1950,0.06359,54.130359999999996,2312,0.0754,64.17624,54.68,29.05,15.75,9.83,0.04,9.433333,4262,0.13899
57,Turkey,1992,32173,0.08327000000000001,51.90916,18761,0.04856,30.26955,199.22,132.88,37.75,27.3,1.29,9.583333,50934,0.13183
58,Germany,1991,20113,0.02254,25.02584,39375,0.04413,48.99295,1079.69,881.44,127.0,64.46,6.8,8.733333,59488,0.06667000000000001
59,Portugal,1991,3959,0.03922,39.057109999999994,4691,0.04647,46.27686,59.56,44.23,11.27,4.0,0.05,15.183333,8650,0.08568999999999999
60,Switzerland,1991,2665,0.042980000000000004,38.52218,2567,0.04141,37.11195,53.4,44.21,6.34,2.68,0.16,5.158333,5232,0.08439
61,Canada,1991,6978,0.03617,25.230079999999997,9653,0.05004,34.900729999999996,622.29,477.81,89.14,42.53,12.82,-6.808333,16631,0.08621000000000001
62,France,1992,20990,0.0409,36.083690000000004,21784,0.04245,37.44842,487.97,343.81,76.64,59.51,8.01,11.133333,42774,0.08335000000000001
63,Iceland,1992,108,0.0614,41.61953,73,0.041589999999999995,28.192529999999998,3.06,1.96,0.52,0.39,0.18,1.675,181,0.10299
64,Italy,1992,9225,0.01711,16.26724,24283,0.04504,42.81973,451.12,367.75,53.52,28.11,1.73,12.416667,33508,0.06215
65,Netherlands,1992,4773,0.03684,31.544729999999998,7235,0.05585,47.81555,210.18,154.74,31.56,15.67,8.21,10.341667,12008,0.09269
66,Australia,1992,2002,0.01675,11.57068,7234,0.060529999999999994,41.80473,560.3,318.72,157.41,77.98,6.19,21.55,9236,0.07727999999999999
67,Turkey,1991,34110,0.08828,56.008469999999996,18742,0.048510000000000005,30.773670000000003,191.74,126.88,37.08,26.32,1.46,10.775,52852,0.13679
68,Ireland,1992,1957,0.06373999999999999,54.22608,2340,0.07621,64.8305,54.89,29.13,15.8,9.91,0.06,9.4,4297,0.13995
69,Luxembourg,1992,94,0.02474,24.2096,183,0.04816,47.135020000000004,11.72,10.83,0.6,0.28,0.01,9.808333,277,0.0729
70,Norway,1992,3059,0.06798,71.38173,1615,0.0359,37.69896,28.89,15.4,6.0,4.23,3.26,1.958333,4674,0.10388
71,Slovakia,1991,2887,0.05329,54.45191,1022,0.018869999999999998,19.27904,49.51,38.5,7.69,3.01,0.31,7.175,3909,0.07216
72,Mexico,1992,35809,0.08127999999999999,40.34134,17612,0.03999,19.84169,438.32,312.07,88.15,36.4,1.7,20.691667000000002,53421,0.12126999999999999
73,Sweden,1990,4480,0.04803,52.16746,2481,0.0266,28.89136,70.26,55.21,8.45,5.92,0.68,3.375,6961,0.07463
74,Switzerland,1992,2635,0.04282,37.82654,2566,0.0417,36.84059,53.31,44.25,6.25,2.65,0.16,5.775,5201,0.08452
75,Canada,1992,7155,0.036539999999999996,25.51973,9995,0.051039999999999995,35.64602,638.22,490.88,93.17,43.07,11.1,-7.316667,17150,0.08757999999999999
76,United Kingdom,1992,41107,0.06506,71.16651,37908,0.059989999999999995,65.62793,739.51,542.02,130.76,48.99,17.74,8.708333,79015,0.12505
77,Chile,1992,7009,0.09575,51.19801,2759,0.0377,20.15704,31.95,14.12,12.63,5.06,0.14,8.333333,9768,0.13345
78,Estonia,1990,296,0.015519999999999999,18.91025,332,0.01738,21.17934,37.37,33.23,2.27,1.87,0.0,6.7,628,0.0329
79,Japan,1992,75040,0.08813,59.257690000000004,32011,0.03759,25.27824,1137.15,1041.79,37.08,28.04,30.23,10.708333,107051,0.12572
80,Latvia,1992,593,0.01703,22.529729999999997,697,0.02001,26.468609999999998,7.97,1.01,4.55,2.38,0.02,7.008333,1290,0.037040000000000003
81,Denmark,1992,2037,0.03397,39.409909999999996,3465,0.05778,67.04084,72.94,57.35,8.97,6.59,0.04,9.025,5502,0.09175
82,Germany,1992,19302,0.02203,23.88097,38572,0.04403,47.720279999999995,1032.01,841.83,119.25,64.37,6.57,9.708333,57874,0.06606000000000001
83,Sweden,1992,4455,0.04746,51.204409999999996,2642,0.02815,30.370559999999998,73.46,58.61,8.54,5.81,0.5,2.85,7097,0.07561000000000001
84,Portugal,1992,4013,0.04002,39.53542,4668,0.04655,45.98664,63.58,48.24,11.36,3.91,0.08,15.2,8681,0.08657000000000001
85,Austria,1992,1451,0.01782,18.55396,2484,0.0305,31.7583,61.2,44.19,11.32,4.7,0.98,7.283333,3935,0.04832
86,Spain,1990,10150,0.031039999999999998,26.1738,22694,0.0694,58.51846999999999,232.63,172.32,34.26,21.69,4.37,13.991667000000001,32844,0.10044
87,United Kingdom,1990,38638,0.06059,67.22853,37656,0.05905,65.52078,746.4,545.73,129.97,53.26,17.44,9.358333,76294,0.11964
88,Luxembourg,1991,93,0.02431,24.20411,180,0.0472,46.98102,12.04,11.14,0.61,0.28,0.0,9.033333,273,0.07150999999999999
89,Norway,1991,3031,0.06773,71.04646,1545,0.034539999999999994,36.22835,28.34,12.21,5.9,4.78,5.45,1.583333,4576,0.10227
90,Latvia,1993,720,0.01859,27.59195,732,0.01891,28.0704,4.78,-1.2,3.93,2.03,0.02,5.841667,1452,0.0375
91,Turkey,1993,30526,0.07969,48.4443,18910,0.04938,30.009659999999997,205.73,138.69,37.61,28.49,0.94,10.383333,49436,0.12907
92,New Zealand,1993,961,0.03563,27.19843,1667,0.06176,47.14689,44.56,-1.98,31.85,14.46,0.23,9.283333,2628,0.09739
93,France,1993,21727,0.04204,37.25294,22020,0.04261,37.75505,469.18,324.68,76.8,59.88,7.82,10.8,43747,0.08465
94,Iceland,1993,109,0.06166,41.60238,73,0.04178,28.18995,3.02,2.0,0.53,0.4,0.09,1.583333,182,0.10344
95,Italy,1993,9146,0.016909999999999998,16.14525,24214,0.04476,42.74456,444.81,362.41,52.99,27.83,1.58,12.183333,33360,0.06167
96,Japan,1993,77765,0.08941,61.23843000000001,32967,0.0379,25.96096,1129.63,1033.99,36.47,28.06,31.12,10.225,110732,0.12731
97,Belgium,1993,3890,0.03744,38.68074,6987,0.06724,69.46515,127.66,106.19,12.95,8.0,0.52,9.833333,10877,0.10468
98,Netherlands,1993,5444,0.0409,35.7454,7618,0.057229999999999996,50.01919,215.69,159.74,30.98,16.05,8.92,9.408333,13062,0.09813
