,country,year,respiratory_infections_and_tuberculosis_number,respiratory_infections_and_tuberculosis_percent,respiratory_infections_and_tuberculosis_rate,chronic_respiratory_diseases_number,chronic_respiratory_diseases_percent,chronic_respiratory_diseases_rate,all_greenhouse_gas,CO2,CH4,N2O,Fgas,mean_annual_temp,total_respiratory_diseases,total_diseases_percent
369,Poland,2001,8834,0.02446,23.09233,10814,0.029939999999999998,28.267129999999998,300.69,222.2,52.88,23.5,2.12,8.408333,19648,0.0544
370,Slovakia,2001,1837,0.03525,34.082409999999996,1012,0.019430000000000003,18.78698,38.43,30.18,5.28,2.78,0.18,7.866667,2849,0.05468
371,Latvia,2002,657,0.020380000000000002,28.20678,468,0.014509999999999999,20.08352,-2.83,-6.54,2.17,1.5,0.04,7.075,1125,0.034890000000000004
372,Netherlands,2001,7752,0.055479999999999995,48.4868,8803,0.063,55.05633,209.35,168.59,23.76,13.39,3.62,10.183333,16555,0.11848
373,Hungary,2000,1366,0.010209999999999999,13.39896,4202,0.0314,41.19485,72.67,56.26,8.95,6.9,0.57,11.808333,5568,0.041609999999999994
374,Canada,2002,6361,0.029089999999999998,20.63585,12812,0.0586,41.56145,981.04,826.9,103.9,40.22,10.01,-6.716667,19173,0.08768999999999999
375,Mexico,2002,21510,0.04602,20.701179999999997,22887,0.04897,22.02628,469.03,322.01,105.73,35.18,6.1,21.175,44397,0.09498999999999999
376,Mexico,2001,21992,0.04834,21.44525,21930,0.04821,21.38462,463.07,316.03,104.36,37.47,5.21,21.008333,43922,0.09655
377,Austria,2001,1225,0.01627,15.21248,2669,0.03545,33.14096,76.39,61.75,8.8,4.46,1.38,6.85,3894,0.05172
378,Denmark,2001,1850,0.03224,34.547470000000004,4228,0.07368999999999999,78.95926999999999,69.7,53.84,8.89,6.19,0.78,8.208333,6078,0.10593
379,Germany,2001,18568,0.02235,22.52695,31780,0.03825,38.5556,973.21,829.38,89.1,44.94,9.77,9.225,50348,0.0606
380,France,2001,20837,0.04,34.54168,19298,0.03705,31.990779999999997,447.09,310.56,75.14,50.16,11.24,11.425,40135,0.07705000000000001
381,Iceland,2001,87,0.04954,30.768359999999998,81,0.04628,28.74373,3.27,2.14,0.58,0.4,0.16,2.2416669999999996,168,0.09582
382,Italy,2001,10078,0.01823,17.72565,25001,0.04523,43.97172,485.95,401.86,51.91,27.71,4.48,12.716667,35079,0.06346
383,Slovenia,2000,718,0.03868,36.0802,714,0.038419999999999996,35.83939,8.76,5.18,2.42,0.97,0.19,10.141667,1432,0.0771
384,Australia,2000,2927,0.022940000000000002,15.49894,7586,0.05946,40.17125,661.97,389.23,169.83,99.8,3.11,21.358333,10513,0.0824
385,Austria,2002,1227,0.01622,15.16801,2818,0.037239999999999995,34.827940000000005,77.69,63.2,8.69,4.35,1.45,7.575,4045,0.053459999999999994
386,Latvia,2001,666,0.020309999999999998,28.26775,473,0.014430000000000002,20.07796,-2.87,-6.54,2.13,1.5,0.04,6.633333,1139,0.03474
387,Portugal,2001,5461,0.05267,51.53852,5579,0.0538,52.64795,78.72,61.97,12.33,3.86,0.56,15.483332999999998,11040,0.10647000000000001
388,New Zealand,2003,535,0.019209999999999998,13.6363,1943,0.06974,49.504540000000006,61.02,10.62,33.7,15.94,0.77,10.008333,2478,0.08895
389,New Zealand,2002,547,0.01961,14.13729,1976,0.07082999999999999,51.05542,58.59,8.76,33.61,15.65,0.57,10.058333,2523,0.09043999999999999
390,Belgium,2003,5693,0.055,54.78295,7162,0.06917999999999999,68.91608000000001,131.78,112.49,10.4,7.24,1.65,10.783333,12855,0.12417999999999998
391,Israel,2003,980,0.025660000000000002,14.371820000000001,1539,0.04029,22.5639,76.34,62.88,6.41,2.03,5.03,20.4,2519,0.06595000000000001
392,Finland,2003,2082,0.04256,39.83453,1530,0.03127,29.271790000000003,69.47,56.53,6.03,5.98,0.92,2.325,3612,0.07383
393,Belgium,2002,5601,0.054060000000000004,54.14286,7122,0.06874,68.84899,128.4,107.84,11.07,8.01,1.48,10.925,12723,0.12279999999999999
394,Greece,2003,3432,0.03329,30.75433,3493,0.03387,31.29348,121.13,99.14,10.71,6.49,4.8,14.05,6925,0.06716
395,Finland,2002,2422,0.049319999999999996,46.46803,1522,0.030989999999999997,29.19684,61.32,48.21,6.29,5.98,0.85,2.05,3944,0.08030999999999999
396,Greece,2002,3365,0.03275,30.158690000000004,3398,0.03307,30.45325,117.81,95.52,10.68,6.45,5.16,14.291667000000002,6763,0.06582
397,Spain,2003,11875,0.0317,27.79325,30647,0.0818,71.72704,374.51,299.53,40.99,23.38,10.6,14.225,42522,0.11349999999999999
398,United Kingdom,2003,40988,0.0689,67.82024,42534,0.0715,70.37945,674.47,531.12,96.66,31.79,14.9,9.366667,83522,0.1404
399,Israel,2002,942,0.02443,14.10624,1531,0.03971,22.93246,75.52,61.07,7.71,1.96,4.77,20.5,2473,0.06414
400,Chile,2003,4583,0.05479,29.37967,4292,0.05131,27.51367,34.93,13.83,13.96,6.42,0.72,8.766667,8875,0.1061
401,Hungary,2003,1213,0.00914,11.970130000000001,4377,0.03297,43.189009999999996,76.67,60.56,9.03,6.23,0.86,10.7,5590,0.04211
402,Ireland,2003,2029,0.07057000000000001,49.9048,2062,0.07172,50.718540000000004,70.9,42.09,17.52,10.18,1.11,9.941667,4091,0.14229000000000003
403,Luxembourg,2003,122,0.03374,27.32021,178,0.04908,39.74212,10.63,9.75,0.56,0.28,0.04,10.158333,300,0.08282
404,Norway,2003,2219,0.05239,48.73695,2248,0.05306,49.361290000000004,26.45,14.25,5.78,4.6,1.82,1.95,4467,0.10545
405,Sweden,2003,3203,0.03489,35.63122,3556,0.03874,39.5577,57.11,43.7,6.87,5.15,1.38,2.5916669999999997,6759,0.07363
406,Estonia,2000,424,0.02339,30.42472,283,0.015619999999999998,20.31811,16.08,13.38,1.44,1.18,0.08,7.0833330000000005,707,0.03901
407,France,2002,20635,0.03932,33.986909999999995,19039,0.03628,31.35758,439.49,304.82,73.03,47.83,13.81,11.891667,39674,0.0756
408,Slovenia,2003,695,0.03721,34.77738,676,0.03622,33.855540000000005,7.54,3.89,2.52,0.87,0.26,9.525,1371,0.07343
409,Australia,2003,3265,0.024990000000000002,16.682579999999998,7735,0.059179999999999996,39.51643,583.65,381.38,130.72,66.06,5.49,22.016667,11000,0.08417
410,Estonia,2003,371,0.02095,27.0253,294,0.016630000000000002,21.45218,18.1,15.44,1.37,1.18,0.11,5.75,665,0.03758
411,Turkey,2003,13205,0.03889,18.504479999999997,21200,0.06245,29.70843,241.45,176.2,37.06,26.22,1.97,11.325,34405,0.10134
412,Denmark,2002,2023,0.03511,37.67105,4227,0.07336000000000001,78.70488,69.44,53.96,8.64,6.01,0.82,9.058333,6250,0.10847000000000001
413,New Zealand,2000,542,0.01986,14.322429999999999,1894,0.06939,50.03463,51.29,3.6,32.59,14.77,0.33,10.158333,2436,0.08925
414,Slovenia,2002,695,0.03741,34.82356,687,0.037,34.434870000000004,7.57,4.0,2.48,0.86,0.23,9.933333,1382,0.07441
415,Japan,2001,82965,0.08503,64.18637,36294,0.0372,28.07913,1153.99,1073.16,28.88,22.83,29.12,10.716667,119259,0.12222999999999999
416,Portugal,2002,5403,0.05172,50.7743,5738,0.054920000000000004,53.915119999999995,83.6,66.19,12.57,4.14,0.69,15.35,11141,0.10664000000000001
417,Switzerland,2001,2044,0.033089999999999994,27.83571,2532,0.04099,34.48004,51.64,42.83,5.53,2.41,0.87,5.758333,4576,0.07408
418,Spain,2002,11522,0.03148,27.417990000000003,29822,0.08147,70.96036,365.39,293.62,40.84,22.41,8.52,13.825,41344,0.11295
419,Australia,2002,3185,0.024390000000000002,16.47342,7742,0.0593,40.043890000000005,660.75,382.28,169.22,104.38,4.88,22.05,10927,0.08369
420,Luxembourg,2002,121,0.0331,27.31686,180,0.049319999999999996,40.69534,10.23,9.33,0.58,0.29,0.04,10.291667,301,0.08242
421,Germany,2002,19188,0.02289,23.25841,31961,0.038130000000000004,38.74057,954.76,815.01,84.88,44.47,10.41,9.8,51149,0.061020000000000005
422,Iceland,2002,85,0.04803,29.82788,83,0.04718,29.30145,3.33,2.22,0.57,0.41,0.13,2.5,168,0.09521
423,Estonia,2002,407,0.02249,29.4496,291,0.01609,21.06943,16.15,13.46,1.42,1.17,0.1,6.233333,698,0.03858
424,Poland,2004,9150,0.025259999999999998,23.96446,10688,0.0295,27.990509999999997,309.02,230.24,51.08,23.76,3.94,8.408333,19838,0.054759999999999996
425,Slovakia,2004,1852,0.03559,34.358129999999996,1044,0.020069999999999998,19.37845,37.5,29.04,5.14,3.0,0.33,7.8,2896,0.055659999999999994
426,Japan,2004,89189,0.0857,68.73361,38590,0.03708,29.73945,1185.28,1113.6,27.47,22.56,21.65,11.683333,127779,0.12278
427,France,2004,19026,0.03729,30.92551,18058,0.03539,29.350859999999997,441.98,311.47,70.21,45.28,15.01,11.408333,37084,0.07268
428,Iceland,2004,83,0.04728,28.769,84,0.047619999999999996,28.979190000000003,3.37,2.29,0.57,0.4,0.11,2.8666669999999996,167,0.0949
429,Italy,2004,9236,0.01679,15.964070000000001,25780,0.04687,44.55706,523.88,437.69,50.26,29.0,6.93,12.491667,35016,0.06366
430,Netherlands,2004,7547,0.055229999999999994,46.50394,8802,0.06441000000000001,54.23611,210.34,173.27,21.4,13.3,2.36,10.225,16349,0.11964
431,Switzerland,2002,2027,0.03272,27.41595,2543,0.04106,34.39932,49.96,41.23,5.48,2.29,0.96,6.375,4570,0.07378
432,Latvia,2004,619,0.01961,27.14937,456,0.01445,20.01101,-2.6,-6.24,2.05,1.53,0.06,6.4583330000000005,1075,0.03406
433,Canada,2001,6531,0.03025,21.3757,12584,0.058289999999999995,41.182629999999996,962.37,808.34,105.36,38.95,9.72,-5.8,19115,0.08854
434,Austria,2004,1239,0.01662,15.141160000000001,2934,0.039330000000000004,35.8387,83.59,69.63,8.44,3.79,1.73,6.616667,4173,0.05595
435,Denmark,2004,2155,0.03865,39.88906,4017,0.07206,74.36153,68.54,53.87,8.32,5.42,0.93,8.641667,6172,0.11071
436,United Kingdom,2002,42296,0.07082000000000001,70.35838000000001,41714,0.06984,69.39062,666.82,519.27,102.04,31.82,13.69,9.358333,84010,0.14066
437,Latvia,2003,634,0.01983,27.491159999999997,462,0.01445,20.03408,-2.69,-6.29,2.11,1.44,0.05,6.35,1096,0.03428
438,Turkey,2002,15194,0.04442,21.4982,20081,0.05872,28.41318,229.56,165.15,37.34,25.36,1.7,11.25,35275,0.10314000000000001
439,Portugal,2003,5483,0.05222,51.34028,5856,0.05577000000000001,54.83419,78.71,61.11,12.91,3.86,0.82,15.85,11339,0.10799
440,Switzerland,2003,1983,0.03188,26.630670000000002,2571,0.04133,34.52299,51.15,42.49,5.36,2.26,1.04,6.2,4554,0.07321
441,Portugal,2004,5438,0.05322999999999999,50.78132,5799,0.056760000000000005,54.14683,80.6,62.72,12.98,3.95,0.94,15.458332999999998,11237,0.10999
442,Switzerland,2004,1900,0.031,25.31546,2533,0.04131,33.73725,51.6,42.93,5.29,2.23,1.15,5.65,4433,0.07231
443,Germany,2004,19751,0.023819999999999997,23.94099,31676,0.03821,38.3948,933.79,802.5,74.53,45.57,11.18,9.2,51427,0.06203
444,Canada,2004,6297,0.02837,20.04114,13055,0.05881,41.54968,995.19,838.71,103.37,42.69,10.41,-7.2916669999999995,19352,0.08718000000000001
445,Norway,2002,2381,0.05482000000000001,52.585809999999995,2242,0.051620000000000006,49.517959999999995,24.51,11.6,5.71,4.75,2.46,1.7583330000000001,4623,0.10644
446,Mexico,2004,20674,0.04295,19.39545,24129,0.05013,22.63693,497.06,347.46,106.85,35.15,7.6,20.975,44803,0.09308
447,Canada,2003,6289,0.02845,20.21239,12979,0.05872,41.71228,1000.48,846.79,102.51,41.12,10.05,-6.241667,19268,0.08717
448,Mexico,2003,21207,0.044219999999999995,20.14837,23829,0.04969,22.63956,492.69,340.27,109.28,36.64,6.5,21.258333,45036,0.09391
449,Japan,2003,87020,0.0855,67.12874000000001,37832,0.03717,29.184540000000002,1193.4,1118.29,27.58,22.29,25.25,10.741667,124852,0.12267
450,France,2003,20317,0.03851,33.24597,18900,0.03582,30.92577,444.36,310.45,71.55,47.78,14.58,11.891667,39217,0.07433000000000001
451,Iceland,2003,83,0.04735,29.02603,84,0.04752,29.1335,3.3,2.2,0.57,0.4,0.13,3.208333,167,0.09487000000000001
452,Italy,2003,9854,0.01745,17.15717,26468,0.04686,46.08494,512.77,427.49,51.43,27.82,6.03,13.016667,36322,0.06431
453,Netherlands,2003,7915,0.05671,48.98382,9194,0.06587,56.89623,208.78,171.59,21.88,12.67,2.64,10.475,17109,0.12258
454,Austria,2003,1265,0.01669,15.55165,2948,0.03887,36.22339,82.77,68.3,8.53,4.34,1.6,7.116667,4213,0.05556
455,Denmark,2003,2114,0.03723,39.258559999999996,4142,0.07292,76.90389,74.87,59.33,8.55,6.13,0.86,8.591667,6256,0.11015
456,Germany,2003,19810,0.023569999999999997,24.006,32245,0.038360000000000005,39.07425,953.66,818.31,80.51,44.22,10.62,9.6,52055,0.06193
457,Chile,2002,4782,0.058710000000000005,30.95563,4068,0.04993,26.32899,34.08,12.6,14.12,6.71,0.65,8.291667,8850,0.10864000000000001
458,Hungary,2002,1233,0.00939,12.1439,4165,0.031689999999999996,40.996109999999994,73.79,58.0,8.77,6.3,0.72,11.541667,5398,0.04108
459,Sweden,2002,3370,0.0363,37.63662,3520,0.03791,39.30594,56.12,42.49,7.08,5.19,1.36,2.641667,6890,0.07421
460,Ireland,2005,1818,0.06487000000000001,43.02315,1976,0.0705,46.76277,71.35,44.65,16.1,9.59,1.01,9.975,3794,0.13537
461,Luxembourg,2005,121,0.03317,26.309690000000003,181,0.04956,39.3083,12.3,11.42,0.55,0.29,0.04,9.916667,302,0.08273
462,Norway,2005,2109,0.051329999999999994,45.70171,2302,0.05604,49.8886,25.72,13.52,5.52,4.81,1.86,2.15,4411,0.10737
463,Sweden,2005,2987,0.033010000000000005,32.88837,3631,0.040119999999999996,39.97865,52.14,38.88,6.65,5.08,1.53,2.983333,6618,0.07313
464,Slovakia,2003,1853,0.03543,34.39287,1045,0.01999,19.4016,38.16,29.94,5.13,2.8,0.28,7.991667,2898,0.055420000000000004
465,New Zealand,2005,534,0.01931,13.2316,1885,0.06807,46.63097,61.17,11.43,33.57,15.35,0.82,10.475,2419,0.08738000000000001
466,Belgium,2005,5585,0.05492999999999999,53.164840000000005,6962,0.06847,66.27004000000001,126.49,107.6,10.0,7.09,1.8,10.691667,12547,0.1234
467,Turkey,2005,10326,0.031180000000000003,14.240620000000002,22479,0.06788,31.000870000000003,260.27,192.05,38.49,27.15,2.59,11.441667,32805,0.09906
468,Finland,2005,1351,0.02792,25.678620000000002,1555,0.03213,29.54543,53.39,40.47,5.49,6.33,1.1,3.0916669999999997,2906,0.06005
469,United Kingdom,2005,37557,0.0656,61.36901999999999,42262,0.07382000000000001,69.05655,663.91,529.64,87.54,31.9,14.83,9.291667,79819,0.13942000000000002
470,Greece,2005,3384,0.03298,30.33652,3849,0.03752,34.505590000000005,122.83,100.86,10.87,5.95,5.14,13.7,7233,0.07050000000000001
471,Chile,2005,4336,0.05064,27.293470000000003,4571,0.05339,28.7721,40.85,19.63,13.82,6.55,0.85,8.483333,8907,0.10403
472,Israel,2005,1082,0.02827,15.229439999999999,1573,0.04108,22.13455,76.09,60.98,7.48,2.1,5.53,20.158333,2655,0.06935
473,Spain,2005,12128,0.03223,27.47358,30878,0.08205,69.94627,405.41,331.38,40.57,21.31,12.16,13.575,43006,0.11427999999999999
474,Slovenia,2004,685,0.03676,34.22857,634,0.034069999999999996,31.7209,7.76,4.18,2.46,0.83,0.28,8.891667,1319,0.07083
475,Estonia,2004,346,0.019880000000000002,25.36835,297,0.01703,21.7352,18.26,15.55,1.38,1.21,0.12,5.966667,643,0.03691
476,Hungary,2004,1173,0.00894,11.60484,4505,0.034319999999999996,44.55908,75.48,58.66,8.61,7.18,1.04,10.491667,5678,0.04325999999999999
477,Turkey,2004,11499,0.03435,15.978620000000001,21935,0.06554,30.47777,247.73,181.64,37.14,26.64,2.31,11.316667,33434,0.09989
478,Poland,2003,8903,0.02486,23.306910000000002,10671,0.0298,27.9352,304.75,226.19,51.6,23.68,3.28,8.425,19574,0.05466
479,Hungary,2005,1172,0.00878,11.62102,4883,0.03657,48.4162,74.57,58.23,8.38,6.82,1.15,10.091667,6055,0.04535
480,Slovenia,2005,647,0.03562,32.28824,594,0.03269,29.62913,7.96,4.4,2.42,0.82,0.31,8.483333,1241,0.06831
481,Estonia,2005,311,0.01815,22.9239,293,0.01708,21.57549,18.41,15.77,1.32,1.19,0.14,6.091667,604,0.03523
482,Ireland,2004,1915,0.06742999999999999,46.19995,2013,0.0709,48.57885,70.13,42.73,16.58,9.84,0.99,9.858333,3928,0.13833
483,Ireland,2002,2130,0.0726,53.364540000000005,2117,0.07215,53.03224,70.62,41.92,16.95,10.78,0.97,9.85,4247,0.14475
484,Australia,2004,3196,0.02445,16.12428,7605,0.058179999999999996,38.36674,635.5,394.65,148.37,86.27,6.21,21.875,10801,0.08263
485,Greece,2004,3417,0.03324,30.62775,3623,0.03524,32.47043,120.74,98.76,10.9,6.09,4.99,14.033332999999999,7040,0.06848
486,Israel,2004,1013,0.02663,14.553629999999998,1537,0.04038,22.07074,77.43,63.15,6.9,2.11,5.28,20.258333,2550,0.06701
487,Spain,2004,11806,0.031580000000000004,27.181379999999997,30444,0.08143,70.08914,390.66,316.44,40.75,22.63,10.84,13.75,42250,0.11301
488,United Kingdom,2004,38698,0.06672,63.649919999999995,42082,0.07256,69.217,669.83,531.36,92.03,32.63,13.81,9.3,80780,0.13928000000000001
489,Luxembourg,2004,121,0.03319,26.65823,180,0.04927,39.57172,12.07,11.17,0.56,0.3,0.04,9.658333,301,0.08246
490,Chile,2004,4521,0.05296,28.716279999999998,4507,0.05279,28.6246,40.23,18.64,13.91,6.9,0.78,8.95,9028,0.10575
491,Japan,2006,95330,0.08711,73.37486,40694,0.03719,31.32217,1164.29,1092.63,26.75,21.96,22.95,10.983333,136024,0.12430000000000001
492,Latvia,2006,658,0.019459999999999998,29.50565,489,0.01445,21.91015,-1.91,-5.65,2.05,1.58,0.11,6.983333,1147,0.033909999999999996
493,Switzerland,2006,1784,0.02915,23.35332,2545,0.041589999999999995,33.3213,51.99,43.12,5.3,2.28,1.29,6.125,4329,0.07074
494,Canada,2006,6269,0.027860000000000003,19.5385,13288,0.05906,41.41258,992.64,842.42,101.58,38.77,9.86,-5.0416669999999995,19557,0.08692
495,France,2006,18561,0.03635,29.76292,17837,0.03493,28.601370000000003,432.32,305.12,67.97,43.15,16.07,11.958333,36398,0.07128000000000001
496,Austria,2006,1195,0.01615,14.450420000000001,2932,0.0396,35.43638,81.31,67.93,8.06,3.77,1.55,7.033333,4127,0.05575000000000001
497,Denmark,2006,2258,0.04124,41.52815,3969,0.07247,72.97997,72.46,58.19,8.02,5.23,1.01,9.275,6227,0.11371
498,Germany,2006,20616,0.024919999999999998,25.04833,32178,0.03889,39.0964,915.88,795.83,66.72,41.99,11.33,9.85,52794,0.06381
499,Portugal,2006,6015,0.05947,55.92095,5928,0.0586,55.10783000000001,78.41,61.04,12.42,3.67,1.29,16.025,11943,0.11807000000000001
500,Poland,2005,9472,0.025939999999999998,24.808239999999998,10698,0.0293,28.02021,310.64,229.77,51.52,24.59,4.75,8.35,20170,0.05524
501,Slovakia,2005,1921,0.035930000000000004,35.63755,1082,0.02025,20.08214,38.39,30.12,5.03,2.87,0.37,7.441667,3003,0.05618000000000001
502,Australia,2005,3077,0.02351,15.324829999999999,7537,0.057589999999999995,37.53406,598.44,398.89,129.13,63.43,6.99,22.35,10614,0.08109999999999999
503,Norway,2004,2106,0.05072,45.952459999999995,2260,0.054439999999999995,49.32148,26.97,14.6,5.77,4.74,1.87,2.0083330000000004,4366,0.10516
504,Latvia,2005,648,0.01996,28.737890000000004,473,0.01457,20.97782,-2.44,-6.14,2.06,1.56,0.08,6.425,1121,0.03453
505,Austria,2005,1244,0.01661,15.10764,2964,0.039580000000000004,35.99276,83.63,70.07,8.23,3.81,1.52,6.233333,4208,0.056190000000000004
506,Denmark,2005,2181,0.03982,40.245090000000005,3944,0.072,72.77219000000001,64.69,50.25,8.14,5.31,0.99,8.7,6125,0.11182
507,Mexico,2005,20702,0.0416,19.18293,25135,0.050519999999999995,23.29063,521.72,365.66,109.64,38.08,8.34,21.291667,45837,0.09212
508,New Zealand,2004,540,0.01933,13.55856,1928,0.069,48.388709999999996,59.66,10.04,33.62,15.22,0.78,9.45,2468,0.08833
509,Poland,2006,9726,0.02636,25.46651,10754,0.02914,28.15792,324.47,242.51,51.67,24.67,5.61,8.725,20480,0.0555
510,Iceland,2006,85,0.04671,28.33127,88,0.0484,29.35932,3.8,2.31,0.61,0.42,0.46,2.608333,173,0.09511
511,France,2005,19074,0.0373,30.79147,18034,0.035269999999999996,29.11324,442.64,314.34,68.98,44.01,15.31,11.358333,37108,0.07257
512,Iceland,2005,86,0.0483,29.300629999999998,86,0.048310000000000006,29.30868,3.33,2.26,0.56,0.4,0.1,2.041667,172,0.09661
513,Italy,2005,9337,0.016890000000000002,16.01124,26195,0.047389999999999995,44.91819,525.16,439.12,50.19,27.92,7.93,12.083333,35532,0.06428
514,Netherlands,2005,7506,0.055470000000000005,46.07555,8778,0.06488,53.88389,204.7,169.08,20.13,13.26,2.23,10.45,16284,0.12035
515,Japan,2005,93891,0.08707999999999999,72.30885,40101,0.03719,30.88294,1186.26,1116.25,27.13,22.13,20.76,10.791667,133992,0.12426999999999999
516,Germany,2005,20402,0.024569999999999998,24.75219,31960,0.038489999999999996,38.77415,909.39,783.85,70.65,43.62,11.27,9.291667,52362,0.06305999999999999
517,Portugal,2005,5732,0.05633,53.38935,5931,0.058289999999999995,55.24865,83.7,66.07,12.64,3.89,1.11,15.475,11663,0.11462
518,Switzerland,2005,1868,0.0305,24.67716,2553,0.04169,33.72953,52.29,43.49,5.3,2.27,1.22,5.45,4421,0.07219
519,Mexico,2006,20341,0.040619999999999996,18.620829999999998,25202,0.050339999999999996,23.07093,543.9,382.98,113.34,36.94,10.64,21.45,45543,0.09095999999999999
520,Norway,2007,2086,0.050210000000000005,44.43913,2452,0.05901,52.228840000000005,26.77,15.16,5.49,4.26,1.87,2.108333,4538,0.10922000000000001
521,Sweden,2007,2868,0.03159,31.1677,3730,0.0411,40.54463,48.52,35.88,6.2,4.9,1.55,3.0083330000000004,6598,0.07269
522,Sweden,2004,3061,0.033569999999999996,33.88452,3588,0.03936,39.72448,55.69,42.17,6.88,5.19,1.46,2.6333330000000004,6649,0.07293
523,Hungary,2007,1135,0.00857,11.308589999999999,5244,0.039580000000000004,52.223040000000005,71.63,56.13,8.12,6.06,1.31,11.85,6379,0.048150000000000005
524,Slovenia,2007,593,0.03216,29.41429,565,0.030619999999999998,28.00023,8.26,4.77,2.34,0.82,0.33,10.025,1158,0.06278
525,Belgium,2004,5521,0.05435,52.860330000000005,6968,0.06858,66.70791,130.35,111.01,10.27,7.33,1.74,10.416667,12489,0.12293000000000001
526,Belgium,2007,5475,0.05393,51.43923,6892,0.0679,64.75616,118.84,101.57,9.64,5.49,2.14,11.108333,12367,0.12183
527,Finland,2007,954,0.0195,17.983060000000002,1633,0.03338,30.785,62.92,50.15,5.36,6.17,1.23,2.941667,2587,0.052879999999999996
528,Greece,2007,3101,0.02928,27.84592,4844,0.045739999999999996,43.50033,124.62,103.23,10.94,5.5,4.95,14.5,7945,0.07502
529,Israel,2007,1204,0.0308,16.281979999999997,1605,0.041069999999999995,21.709410000000002,83.61,66.58,8.0,2.26,6.76,20.308332999999998,2809,0.07186999999999999
530,Estonia,2007,291,0.01696,21.70632,306,0.01779,22.773979999999998,21.2,18.52,1.28,1.23,0.17,6.6666669999999995,597,0.03475
531,Australia,2007,2995,0.02198,14.50004,7968,0.05848,38.578379999999996,646.46,414.75,145.83,78.73,7.16,21.908333,10963,0.08046
532,Spain,2007,12033,0.03177,26.44332,30739,0.08116,67.55206,415.54,335.55,40.88,22.19,16.92,13.641667000000002,42772,0.11293
533,United Kingdom,2007,35933,0.06348,57.8587,42953,0.07587999999999999,69.16263000000001,645.52,518.2,79.81,31.56,15.95,9.483333,78886,0.13935999999999998
534,Chile,2007,4292,0.04905,26.5145,4767,0.054479999999999994,29.4506,50.39,28.66,13.41,7.24,1.08,8.108333,9059,0.10353
535,New Zealand,2006,551,0.01976,13.45849,1889,0.06767999999999999,46.093790000000006,61.43,11.48,33.83,15.18,0.94,9.791667,2440,0.08743999999999999
536,Belgium,2006,5471,0.054310000000000004,51.75281,6838,0.06787,64.6754,123.51,105.63,9.86,6.09,1.92,10.983333,12309,0.12218000000000001
537,Spain,2006,11870,0.03173,26.4755,30258,0.08088,67.48615,399.28,322.65,40.13,21.72,14.78,14.333332999999998,42128,0.11260999999999999
538,United Kingdom,2006,36437,0.06417,59.11622,42426,0.07472000000000001,68.83337,661.01,530.68,83.52,31.28,15.53,9.516667,78863,0.13889
539,Finland,2006,1099,0.022719999999999997,20.8059,1591,0.03288,30.11447,64.75,52.06,5.54,5.98,1.17,2.775,2690,0.0556
540,Chile,2006,4236,0.04925,26.419929999999997,4625,0.053770000000000005,28.84586,42.17,20.96,13.57,6.68,0.97,8.85,8861,0.10302
541,Greece,2006,3265,0.031760000000000004,29.28629,4252,0.04136,38.1354,121.21,99.62,10.95,5.68,4.96,13.741667000000001,7517,0.07312
542,Israel,2006,1121,0.02891,15.47535,1576,0.040619999999999996,21.74759,80.41,64.32,7.85,2.1,6.15,20.033333,2697,0.06953
543,Slovakia,2006,1928,0.03608,35.75563,1080,0.02022,20.04139,37.92,29.48,4.83,3.18,0.43,7.9166669999999995,3008,0.0563
544,Italy,2006,9335,0.01678,15.88746,26286,0.04726,44.7364,512.76,431.94,49.13,22.92,8.78,12.808333,35621,0.06404
545,Canada,2005,6326,0.0282,19.92975,13245,0.059039999999999995,41.72549,1006.64,851.37,101.6,43.34,10.33,-5.7083330000000005,19571,0.08724
546,Turkey,2007,9551,0.0275,12.993789999999999,25156,0.0724,34.22104,319.59,246.01,42.36,27.89,3.34,11.783333,34707,0.0999
547,Finland,2004,1695,0.03494,32.31626,1519,0.031330000000000004,28.975040000000003,65.56,52.66,5.78,6.12,1.01,2.425,3214,0.06627
548,Netherlands,2006,7278,0.05416,44.52725,8696,0.06471,53.20166,200.03,164.82,19.55,13.18,2.48,10.833333,15974,0.11887
549,Latvia,2008,541,0.017480000000000002,24.87434,463,0.01496,21.28714,-1.8,-5.71,2.07,1.68,0.17,7.716667,1004,0.032440000000000004
550,Austria,2008,1111,0.01495,13.34341,2919,0.03928,35.05126,77.79,64.56,7.79,3.79,1.64,7.5,4030,0.05423
551,Denmark,2008,2385,0.04407,43.50262,4054,0.07489,73.93172,64.17,50.1,7.8,5.22,1.05,9.491667,6439,0.11896
552,Germany,2008,21426,0.02567,26.13727,34053,0.0408,41.54078,889.47,771.22,63.51,43.66,11.08,9.833333,55479,0.06647
553,Poland,2008,10214,0.02721,26.693240000000003,10918,0.02908,28.530490000000004,318.18,236.73,50.58,24.35,6.51,9.508333,21132,0.05629000000000001
554,Slovakia,2008,1938,0.03611,35.92667,1090,0.020309999999999998,20.2026,36.81,28.64,4.78,2.86,0.53,8.991667,3028,0.05642
555,Japan,2008,99131,0.08685,76.2265,42712,0.03742,32.84318,1133.32,1061.73,25.74,20.68,25.16,11.141667,141843,0.12426999999999999
556,France,2008,18823,0.03613,29.81792,18206,0.03494,28.84099,418.88,291.73,67.75,42.11,17.3,11.375,37029,0.07107
