"","country","year","mean_year_tempeC","id","tot_gas","year_deaths"
"149","Canada",1997,-6.60833333333333,"Canada-1997",709.57,57509
"150","Canada",1998,-5.14166666666667,"Canada-1998",726.1,61894
"151","Canada",1999,-5.8,"Canada-1999",723.75,62677
"152","Chile",1991,8.39166666666667,"Chile-1991",29.62,18408
"153","Chile",1992,8.33333333333333,"Chile-1992",31.95,18275
"154","Chile",1993,8.63333333333333,"Chile-1993",33.32,19539
"155","Chile",1994,8.83333333333333,"Chile-1994",36.84,18619
"156","Chile",1995,8.55833333333333,"Chile-1995",40.3,21385
"157","Chile",1996,8.6,"Chile-1996",46.64,21319
"158","China",1991,6.575,"China-1991",3023.38,546098
"159","China",1992,6.375,"China-1992",3154.54,598760
"160","China",1993,6.40833333333333,"China-1993",3377.79,589694
"161","China",1994,6.99166666666667,"China-1994",3528.81,558412
"162","China",1995,6.76666666666667,"China-1995",3918.3,519412
"163","China",1996,6.425,"China-1996",3954.75,510372
"164","China",1997,6.825,"China-1997",3963.61,484388
"165","China",1998,7.50833333333333,"China-1998",4103.23,488396
"166","China",1999,7.3,"China-1999",4053.37,499868
"167","China",2000,6.75,"China-2000",4249.7,492088
"168","Colombia",1991,24.6666666666667,"Colombia-1991",218.85,27602
"169","Colombia",1992,24.775,"Colombia-1992",222.51,27185
"170","Colombia",1993,24.6,"Colombia-1993",226.53,28209
"171","Colombia",1994,24.5666666666667,"Colombia-1994",228.62,27907
"172","Colombia",1995,24.7666666666667,"Colombia-1995",231.69,29931
"173","Colombia",1996,24.4333333333333,"Colombia-1996",232.23,31381
"174","Costa Rica",1991,24.9166666666667,"Costa Rica-1991",11.61,2517
"175","Costa Rica",1992,24.9166666666667,"Costa Rica-1992",12.71,2575
"176","Costa Rica",1993,24.9,"Costa Rica-1993",12.77,2570
"177","Costa Rica",1994,24.875,"Costa Rica-1994",13.16,2724
"178","Costa Rica",1995,24.8666666666667,"Costa Rica-1995",12.73,3025
"179","Costa Rica",1996,24.3666666666667,"Costa Rica-1996",12.68,2947
"180","Croatia",1991,10.2833333333333,"Croatia-1991",21.34,7415
"181","Croatia",1992,11.55,"Croatia-1992",22.36,8033
"182","Croatia",1993,10.9166666666667,"Croatia-1993",23.25,7827
"183","Croatia",1994,12.225,"Croatia-1994",23.33,7891
"184","Cuba",1991,25.9583333333333,"Cuba-1991",34.84,14934
"185","Cuba",1992,25.4916666666667,"Cuba-1992",28.9,16223
"186","Cuba",1993,25.6333333333333,"Cuba-1993",25.11,18088
"187","Cuba",1994,26.1,"Cuba-1994",26.44,18146
"188","Cuba",1995,25.6916666666667,"Cuba-1995",28.2,16594
"189","Cuba",1996,25.2083333333333,"Cuba-1996",31.3,18775
"190","Cuba",1997,25.8666666666667,"Cuba-1997",33.75,19101
"191","Cuba",1998,26.0583333333333,"Cuba-1998",33.23,18958
"192","Cuba",1999,25.5666666666667,"Cuba-1999",33.57,20133
"193","Cuba",2000,25.5,"Cuba-2000",33.9,21956
"194","Cyprus",1999,19.9083333333333,"Cyprus-1999",7.77,636
"195","Cyprus",2000,19.225,"Cyprus-2000",8.03,698
